Name,Link,Price,Image
"
          Mandarins Empress (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarins-empress-5921,$8.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/5921-done_medium.jpg?v=1592792404
"
          Mandarins Imperial (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarins-imperial-46815,$6.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/46815-done_medium.jpg?v=1592877043
"
          Mandarins Imperial Imperfect (CASE SALE, Box 9kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarins-imperial-case-sale-4687,$2.50 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/4687-done_8f6db1a1-56ac-4aa3-9285-0d32137c8772_medium.jpg?v=1593219758
"
          Mandarins Imperial Imperfect Pick Value Range (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarins-imperial-imperfect-24681,$3.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/imperfect_mandarins_medium.jpg?v=1462303241
"
          Mandarins Imperial Premium (Case Sale, Box 9kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarins-imperial-premium-case-sale-946815,$5.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/946815-done_974355ce-b639-40d3-a1d1-2e3bec46f244_medium.jpg?v=1592624255
"
          Mandarins Murcott Large (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/mandarines-murcott-4931,$7.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/4931-done_54f8d82b-0472-49d8-b2f1-93f228c1d43f_medium.jpg?v=1592876384
"
          Melon Honeydew Large (half) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/melon-honey-dew-large-cut-47222,$3.49 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/honeydew_medium.jpg?v=1488759435
"
          Melon Honeydew Large (whole) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/melon-honey-dew-4722,$6.99 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/4722-done_medium.jpg?v=1536543501
"
          Melon Spanish (Whole) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/melon-spanish-each-5772,$5.69 each,https://cdn.shopify.com/s/files/1/0206/9470/products/melon_spanish_5772_resize_medium.jpg?v=1592262808
"
          Nectarines White (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/nectarines-white-4851,$22.49 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/nectarines_white_resized_1_0c14e18d-38ec-4a2f-856e-f58e7b699bb8_medium.jpeg?v=1477260895
"
          Nectarines Yellow (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/nectarines-large-each-4841,$22.49 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/nectared_resized_1024x1024_23b0f50f-617f-443b-a75b-7a6d095d0a14_medium.jpeg?v=1476898767
"
          Oranges Navel (3kg net) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/oranges-navel-nets-49121,$2.33 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/Oranges_Navel3kgnet_49121_resized_f0afb4d2-2f41-4da5-aa07-cc34f14186e7_medium.jpeg?v=1476802608
"
          Oranges Navel (Case Sale, Box 15kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/oranges-navel-case-sale-49124,$1.50 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/49124-done_medium.jpg?v=1589509301
"
          Oranges Navel Imperfect Pick Value Range (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/oranges-navel-imperfect-pick-value-range-each,$2.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/imperfect_orange1_medium.jpg?v=1588906169
"
          Oranges Navel Large (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/oranges-navel-large-kg-4911,$4.49 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/4911-orange-navel-done_medium.jpg?v=1592859945
"
          Oranges Navel Organic (3kg net) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/oranges-organic-navel-74912,$3.43 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74912-done_medium.jpg?v=1535077045
"
          Oranges Navel Organic (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/oranges-valencia-organic-each-74911,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/74911-orange-navel-organic-done_medium.jpg?v=1592860488
"
          Papaya Red (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/papaya-red-kg-5061,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/papaya-red-each_medium.jpg?v=1592091635
"
          Passionfruit (10ea in net) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/passionfruit-net,$4.49 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/49421-done_medium.jpg?v=1563930431
"
          Passionfruit (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/passionfruit-each-4940,$11.65 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_4940_W_1000PX_3_medium.jpg?v=1478674544
"
          Passionfruit Panama (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/passionfruit-panama-multiple,$9.00 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_5700_W_1000PX_3_medium.jpg?v=1478162789
"
          Peaches White (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/peaches-white-br-each,$22.49 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/peaches_white_resized_1_49be6159-ab78-48ce-acd9-b5afc9cc7885_medium.jpeg?v=1483988120
"
          Peaches Yellow (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/peaches-yellow-br-each,$22.49 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/Peach_da10dca9-1f2d-40ca-8b93-5010cfee3384_medium.jpeg?v=1479159075
"
          Pears Beur Bosc (Case Sale, Box 13kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-beur-bosc-wholesale,$4.15 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_904981_W_1000PX_medium.jpeg?v=1441108537
"
          Pears Beur Bosc (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-beur-bosc-kg,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/4981-done_medium.jpg?v=1584061079
"
          Pears Corella (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-corella-kg,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/5091-done_medium.jpg?v=1553818938
"
          Pears Corella Large (Case Sale, Tray 5kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-corella-large-wholesale-905091,$5.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/tray_corella_pears_medium.jpg?v=1441108543
"
          Pears Josephine (Case Sale, Box 13kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-josephine-wholesale-904961,$4.15 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_949615__W_1000PX_medium.jpg?v=1441108546
"
          Pears Josephine (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-josephine-kg-4961,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/4961-done_medium.jpg?v=1558131906
"
          Pears Packham Imperfect Pick Value Range (min 1kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/packham-pears-imperfect-pick-value-range-24991,$2.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/imperfect_pear_grande_35d2c92a-81d6-4b23-8821-fd1a255aea43_medium.jpg?v=1477316175
"
          Pears packham Large (Case Sale, Box 13kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-packham-large-case-sale-904991,$4.46 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_904991_W_1000PX_medium.jpeg?v=1592111774
"
          Pears Packham Large (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pears-packham-large-kg-4991,$5.69 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_4991_W_1000PX_3_medium.jpg?v=1590708624
"
          Pineapple Sweet Topless (half) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pineapple-bethonga-half,$3.49 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/pineapple_half_medium.jpg?v=1504244549
"
          Pineapples Large (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pineapple-large-each,$5.69 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/Pineapple_Large_5052_resized_dddf2092-66c5-459f-ae9a-bf48a4eb265d_medium.jpeg?v=1441108713
"
          Pineapples Sweet Topless (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/pineapple-sweet-topless,$4.49 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/50521-done_medium.jpg?v=1525572097
"
          Plums - Eagle Egg (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/plums-eagle-egg-each-56711,$27.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/56711-done_medium.jpg?v=1551483783
"
          Quince (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/quinces-kg,$6.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/5211-done_medium.jpg?v=1528500236
"
          Raspberries (125g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/raspberries-punnet,$47.92 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/raspberries_f180c28a-2dc4-42a7-b3da-b70235be9c02_medium.jpg?v=1476895350
"
          Raspberries (Tray Sale, Tray of 12 Punnets) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/raspberries-wholesale-904302,$5.04 per item,https://cdn.shopify.com/s/files/1/0206/9470/products/HFM_904302_W_1000PX_medium.jpeg?v=1476895347
"
          Rockmelon Large (half) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/melon-rock-large-cut,$3.99 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/rockmelon-half_medium.jpg?v=1504244926
"
          Rockmelon Large (whole) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/rock-melon-large,$5.69 per each,https://cdn.shopify.com/s/files/1/0206/9470/products/rockmelon-large_medium.jpg?v=1504245031
"
          Strawberries Large (250g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/strawberries-large-punnet-4322,$15.96 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/Strawberries-group-done_medium.jpg?v=1496636819
"
          Strawberries Premium (250g punnet) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/strawberries-punnet,$18.00 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/strawberries-premium-punnet-done_medium.jpg?v=1558307907
"
          Water Melon Seedless Cut (each) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/watermelon-seedless-qtr-5571,$3.99 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/watermelon-seedless-quarter-done_medium.jpg?v=1496645880
"
          Watermelon Seedless whole (min 5kg) 
        ",https://www.harrisfarm.com.au/collections/fruit/products/watermelon-seedless-whole-5561,$3.29 per kg,https://cdn.shopify.com/s/files/1/0206/9470/products/5561-done_medium.jpg?v=1544139462
