Name,Link,Price,Image,Field4
Sweet Crispy Apples,https://www.iga.net/en/product/applessweet-crispy/00000_000000068922599992,"
                                            $0.39 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0068922599992.jpg,
W Pack Lemons,https://www.iga.net/en/product/lemonsw-pack/00000_000000003338314020,"
                                            $0.33 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338314020.jpg,
Watermelon Yellow Seedless Melons,https://www.iga.net/en/product/melonswatermelon-yellow-seedless/00000_000000000000004341,"
                                            $0.33 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004341.jpg,
White Flesh Large Peaches,https://www.iga.net/en/product/peacheswhite-flesh-large/00000_000000000000004401,"
                                            $0.77 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004401.jpg,
White Flesh Nectarines,https://www.iga.net/en/product/nectarineswhite-flesh/00000_000000000000003035,"
                                            $0.77 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000003035.jpg,
 White/Green Seedless Grapes,https://www.iga.net/en/product/white/green-seedless-grapes/00000_000000000000004022,"
                                            $0.27 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004022.jpg,
 Zespri Kiwi Sungold,https://www.iga.net/en/product/zespri-kiwi-sungold/00000_000000081884902001,"
                                            $1.10 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0081884902001.jpg,
1.2 L Kiwifruits,https://www.iga.net/en/product/kiwifruits1-2-l/00000_000000062823366058,"
                                            $5.49 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0062823366058.jpg,
30 lb Rhubarb,https://www.iga.net/en/product/rhubarb30-lb/00000_000000003338344625,"
                                            $4.99 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338344625.jpg,
 Ataulfo Mango,https://www.iga.net/en/product/ataulfo-mango/00000_000000000000004961,"
                                            $2.29 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004961.jpg,
Bag Limes,https://www.iga.net/en/product/limesbag/00000_000000003338346724,"
                                            $0.60 / EA
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0003338346724.jpg,
 Bananas,https://www.iga.net/en/product/bananas/00000_000000000000004011,"
                                            $0.17 / 100 G
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0000000004011.jpg,
Basket Apricots,https://www.iga.net/en/product/apricotsbasket/00000_000000080199400194,"
                                            $0.80 / 100 ML
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080199400194.jpg,
Basket Cactus Pears,https://www.iga.net/en/product/cactus-pearsbasket/00000_000000080199400196,"
                                            $0.47 / 100 ML
                                        ",https://az836796.vo.msecnd.net/media/image/product/en/small/0080199400196.jpg,
